case,entity,test_type,attribute,half,pair_id,authored,target,score,why
frontend-bfs-in,frontend,boundary,build-foundational-software,in,frontend-bfs,yes,owns: shape and build the surfaces a person navigates,,
frontend-bfs-out,frontend,boundary,build-foundational-software,out,frontend-bfs,yes,"defers ""builds and lands foundational software"" to platform",,
gamedev-bfs-in,gamedev,boundary,build-foundational-software,in,gamedev-bfs,yes,"owns: ship playable games: the code, the assets, and the build that carries both",,
gamedev-bfs-out,gamedev,boundary,build-foundational-software,out,gamedev-bfs,yes,"defers ""builds and lands foundational software"" to platform",,
director-bfs-in,director,boundary,build-foundational-software,in,director-bfs,yes,"owns: decide what the portfolio does next, and carry each decision to its gate",,
director-bfs-out,director,boundary,build-foundational-software,out,director-bfs,yes,"defers ""builds and lands foundational software"" to platform",,
advocate-bfs-in,advocate,boundary,build-foundational-software,in,advocate-bfs,yes,"owns: turn real portfolio work and audience evidence into accurate content, respectful conversations, and informed commitments",,
advocate-bfs-out,advocate,boundary,build-foundational-software,out,advocate-bfs,yes,"defers ""builds and lands foundational software"" to platform",,
sysadmin-bfs-in,sysadmin,boundary,build-foundational-software,in,sysadmin-bfs,yes,"holds ""builds and lands foundational software"" within: executable configuration only your own estate consumes, never shared tooling, validators, or code other seats build on",,
sysadmin-bfs-out,sysadmin,boundary,build-foundational-software,out,sysadmin-bfs,yes,"defers ""builds and lands foundational software"" past that scope to platform",,
science-bfs-in,science,boundary,build-foundational-software,in,science-bfs,yes,"holds ""builds and lands foundational software"" within: the repositories carrying this deployment's own evaluation stack entire, prose, tooling, and their operations, plus your own runners, probes, graders, and aggregation anywhere else",,
science-bfs-out,science,boundary,build-foundational-software,out,science-bfs,yes,"defers ""builds and lands foundational software"" past that scope to platform",,
platform-bfs-in,platform,boundary,build-foundational-software,in,platform-bfs,yes,"owns ""builds and lands foundational software""",,
platform-bfs-out,platform,boundary,build-foundational-software,out,platform-bfs,yes,"owns ""builds and lands foundational software"", claims nothing past it",,
science-mlb-in,science,boundary,modify-live-backend,in,science-mlb,yes,"owns: measure how agents, models, and inference actually behave on real hardware",,
science-mlb-out,science,boundary,modify-live-backend,out,science-mlb,yes,"defers ""changes running backend systems"" to sysadmin",,
frontend-mlb-in,frontend,boundary,modify-live-backend,in,frontend-mlb,yes,owns: shape and build the surfaces a person navigates,,
frontend-mlb-out,frontend,boundary,modify-live-backend,out,frontend-mlb,yes,"defers ""changes running backend systems"" to sysadmin",,
director-mlb-in,director,boundary,modify-live-backend,in,director-mlb,yes,"owns: decide what the portfolio does next, and carry each decision to its gate",,
director-mlb-out,director,boundary,modify-live-backend,out,director-mlb,yes,"defers ""changes running backend systems"" to sysadmin",,
advocate-mlb-in,advocate,boundary,modify-live-backend,in,advocate-mlb,yes,"owns: turn real portfolio work and audience evidence into accurate content, respectful conversations, and informed commitments",,
advocate-mlb-out,advocate,boundary,modify-live-backend,out,advocate-mlb,yes,"defers ""changes running backend systems"" to sysadmin",,
platform-mlb-in,platform,boundary,modify-live-backend,in,platform-mlb,yes,"holds ""changes running backend systems"" within: local development environments, containers, and CI runners you start yourself, never a hosted service, cluster, or production surface",,
platform-mlb-out,platform,boundary,modify-live-backend,out,platform-mlb,yes,"defers ""changes running backend systems"" past that scope to sysadmin",,
gamedev-mlb-in,gamedev,boundary,modify-live-backend,in,gamedev-mlb,yes,"holds ""changes running backend systems"" within: a local world, server, or save you launched yourself, and routine operation of a game server you already run, including mod sync, restart, config reload, and world backup, never provisioning a new server, changing its topology or capacity, or a first deployment",,
gamedev-mlb-out,gamedev,boundary,modify-live-backend,out,gamedev-mlb,yes,"defers ""changes running backend systems"" past that scope to sysadmin",,
sysadmin-mlb-in,sysadmin,boundary,modify-live-backend,in,sysadmin-mlb,yes,"owns ""changes running backend systems""",,
sysadmin-mlb-out,sysadmin,boundary,modify-live-backend,out,sysadmin-mlb,yes,"owns ""changes running backend systems"", claims nothing past it",,
platform-sec-in,platform,boundary,suggest-external-comms,in,platform-sec,yes,owns: build and land the foundational software the rest of the estate is built on,,
platform-sec-out,platform,boundary,suggest-external-comms,out,platform-sec,yes,"defers ""recommends communication addressed outward"" to advocate",,
sysadmin-sec-in,sysadmin,boundary,suggest-external-comms,in,sysadmin-sec,yes,owns: operate the real hosted systems and release surfaces,,
sysadmin-sec-out,sysadmin,boundary,suggest-external-comms,out,sysadmin-sec,yes,"defers ""recommends communication addressed outward"" to advocate",,
science-sec-in,science,boundary,suggest-external-comms,in,science-sec,yes,"owns: measure how agents, models, and inference actually behave on real hardware",,
science-sec-out,science,boundary,suggest-external-comms,out,science-sec,yes,"defers ""recommends communication addressed outward"" to advocate",,
director-sec-in,director,boundary,suggest-external-comms,in,director-sec,yes,"owns: decide what the portfolio does next, and carry each decision to its gate",,
director-sec-out,director,boundary,suggest-external-comms,out,director-sec,yes,"defers ""recommends communication addressed outward"" to advocate",,
frontend-sec-in,frontend,boundary,suggest-external-comms,in,frontend-sec,yes,"holds ""recommends communication addressed outward"" within: labels, empty states, error text, and microcopy shown inside a surface you own, never words addressed outward to a reader",,
frontend-sec-out,frontend,boundary,suggest-external-comms,out,frontend-sec,yes,"defers ""recommends communication addressed outward"" past that scope to advocate",,
gamedev-sec-in,gamedev,boundary,suggest-external-comms,in,gamedev-sec,yes,"holds ""recommends communication addressed outward"" within: in-game text, item descriptions, tooltips, and mod documentation, never a patch announcement, store description, or post about the game",,
gamedev-sec-out,gamedev,boundary,suggest-external-comms,out,gamedev-sec,yes,"defers ""recommends communication addressed outward"" past that scope to advocate",,
advocate-sec-in,advocate,boundary,suggest-external-comms,in,advocate-sec,yes,"owns ""recommends communication addressed outward""",,
advocate-sec-out,advocate,boundary,suggest-external-comms,out,advocate-sec,yes,"owns ""recommends communication addressed outward"", claims nothing past it",,
sysadmin-sev-in,sysadmin,boundary,seek-external-validation,in,sysadmin-sev,yes,owns: operate the real hosted systems and release surfaces,,
sysadmin-sev-out,sysadmin,boundary,seek-external-validation,out,sysadmin-sev,yes,"defers ""reaches outside the local frame"" to director",,
science-sev-in,science,boundary,seek-external-validation,in,science-sev,yes,"owns: measure how agents, models, and inference actually behave on real hardware",,
science-sev-out,science,boundary,seek-external-validation,out,science-sev,yes,"defers ""reaches outside the local frame"" to director",,
frontend-sev-in,frontend,boundary,seek-external-validation,in,frontend-sev,yes,owns: shape and build the surfaces a person navigates,,
frontend-sev-out,frontend,boundary,seek-external-validation,out,frontend-sev,yes,"defers ""reaches outside the local frame"" to director",,
gamedev-sev-in,gamedev,boundary,seek-external-validation,in,gamedev-sev,yes,"owns: ship playable games: the code, the assets, and the build that carries both",,
gamedev-sev-out,gamedev,boundary,seek-external-validation,out,gamedev-sev,yes,"defers ""reaches outside the local frame"" to director",,
platform-sev-in,platform,boundary,seek-external-validation,in,platform-sev,yes,"holds ""reaches outside the local frame"" within: the maintainers, cadence, licence, and supply-chain health of a candidate dependency, never where the estate should invest",,
platform-sev-out,platform,boundary,seek-external-validation,out,platform-sev,yes,"defers ""reaches outside the local frame"" past that scope to director",,
advocate-sev-in,advocate,boundary,seek-external-validation,in,advocate-sev,yes,"holds ""reaches outside the local frame"" within: replies, engagement, community threads, and direct audience feedback, never a portfolio-level question about where attention or investment goes",,
advocate-sev-out,advocate,boundary,seek-external-validation,out,advocate-sev,yes,"defers ""reaches outside the local frame"" past that scope to director",,
director-sev-in,director,boundary,seek-external-validation,in,director-sev,yes,"owns ""reaches outside the local frame""",,
director-sev-out,director,boundary,seek-external-validation,out,director-sev,yes,"owns ""reaches outside the local frame"", claims nothing past it",,
platform-fit-within,platform,role-fit,within,,,yes,platform correctly identifies work it should own,,
platform-fit-analyst,platform,role-fit,analyst,,,yes,assessing what a dependency exposes once trusted instead of whether the venture should buy it,,
platform-fit-science,platform,role-fit,science,,,yes,building a measurement harness as ordinary foundational tooling instead of leaving the measuring to it,,
sysadmin-fit-within,sysadmin,role-fit,within,,,yes,sysadmin correctly identifies work it should own,,
